"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Austria","AUT","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","54868515165.0733","58040490742.9577","57494316295.309","59491719782.9761","60752583374.2341","59570258411.8025","58408210144.9462","59886349888.9062","58577757421.4656","61634903177.7719","62852325093.7903","63057798084.6963","65242279676.8215","67078940092.6504","71264674216.0568","74202012806.088","74909783843.7957","74780937277.3389","78191600990.5886","80827084723.709","82201268669.2262","83548476830.6503","85929675007.9817","88522941332.5927","92176585162.0489","93802412360.1781","93129843924.0621","95405921110.859","98422392262.7003","100423637562.853","104092099076.53","109440290331.925","109135026427.152","96798244156.9931","100069790283.185","104056065998.277","105586503588.23","106209998403.488","106233297342.861","106223406630.566","109785619587.994","114905270431.765","120474905788.475","122075803979.405",
"Azerbaijan","AZE","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9346694158.72096","6997487505.91228","5090245031.95979","4408374297.17473","4730051063.98587","5568629397.11533","6565795014.89956","6738876468.65444","5846820571.52047","6331150963.61854","7045524314.72068","7859649414.94505","8637267431.72778","12617567895.4142","18903299248.1781","25182174810.6244","27617694320.9798","30557799998.7164","31738881275.6945","29996482166.4564","29742303740.4285","31109862514.0475","31173449969.244","30449135722.1812","29164703406.164","28140619727.4607","27939059492.121","28062463717.8392",
"Burundi","BDI","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","144549428.208096","152683523.341496","149132387.284569","151910107.784237","157476135.96442","158463243.646353","174855138.002786","217582441.60598","242422005.287213","244388976.936356","269149137.338584","294920365.775269","322190504.505957","332652230.202951","337778615.104411","369219513.744053","374106295.813078","401830565.482873","404062214.574748","406968094.694066","437442224.031468","478035391.39232","519003012.754094","446238790.322323","363818485.743494","303460998.90509","315235285.731831","311922630.346719","306963060.612493","321052664.972805","301050596.563363","282294687.379266","264707299.893973","248215633.279519","232751422.455864","236361208.320957","249049657.287627","269812363.727489","282884365.917954","308458816.867165","312667504.801754","318469324.952042","335262486.58179","343429166.518547","364722146.843112","306001881.201371","302023856.745753","304138023.719059","311437427.547181","317977664.363919",
"Belgium","BEL","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75891066103.9931","77712676985.814","82316891824.4053","83617248900.9537","85009713527.2317","90175874847.3436","90560969666.0591","90591069328.1728","90889482287.325","95302764505.2986","97569281980.7646","98255373420.6164","103009957386.677","100930626221.952","95900107155.9999","100492824698.762","101825994282.508","99951935062.4116","99793427399.693","102967197780.841","105884539710.078","105295464777.725","107065660786.064","106646978361.557","108251561636.721",
"Benin","BEN","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","464784430.806338","431101839.18571","491687839.696119","477725007.667551","612733903.135052","529606573.807272","464074534.075413","530251269.444109","497001251.495217","535914032.517977","529065881.554761","630112553.669254","846782403.330847","813695516.752266","882320725.971489","963200005.505561","757325178.944869","756099737.332848","801441195.24981","863987882.649949","934831552.213212","977244408.175451","1065708495.10666","1046593465.96395","1097184883.4374","1140207560.05886","1227961119.24884","1271043405.28042","1268658327.35241","1290856497.17643","1409725624.87951","1598029772.89139","1627733699.5352","1646892724.72287","1664604800.33737","1774388376.55936","1828483015.00971","1796115372.28862","1636210529.36297","1661277062.66708","1717225219.04557","1720235931.86918","1783268333.09482","1893823514.09679","1967521742.20864","2238781514.33294","2258742622.12786","2269337289.60847","2379195373.35481","2701776066.58479",
"Burkina Faso","BFA","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","400668759.891494","416682876.95037","425092235.537251","480693133.214084","424530056.224426","513610445.451523","568943478.135118","472699978.542973","508905235.23797","494043334.547974","514541058.211714","507681715.654343","547770183.941862","552059642.6272","561710925.052849","592823681.444232","652739934.385133","707374316.180425","700648930.979504","696844515.539144","750007475.509318","750952319.142043","782213766.483451","823468731.732048","785893879.082486","787452795.545559","780601850.393798","939832068.052478","980660772.509199","1320925621.63573","1280093522.4696","1344844384.46461","1426152815.55511","1624007720.54936","1714458168.57629","1800906154.00697","1895647801.52078","2157075653.79244","2110754829.9999","2351532578.20372","2634117029.64242","2963890514.73764","2912724201.87049","3048158399.00783","3364877920.487","3582425722.40581","3759616199.01322","4108167439.57605","","",
"Bangladesh","BGD","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","1819389415.43797","1856391319.05984","2351054226.66787","2443198298.98054","3324061184.33778","3586196354.81457","3442464663.27394","2983861137.09536","3532976006.7534","3745749331.8202","3773380687.57214","3032350748.37549","1616702393.05495","2743382101.1199","3308645397.79995","2892016771.0646","2847313483.56358","3335512523.57292","3488512162.46954","4225740128.65786","4064276672.49528","4267866761.52453","4412015890.66693","4584043365.90975","5025421667.86168","5336416645.38581","5705080744.60555","6197251923.61383","6390793765.63758","6632311203.48107","7116306135.20751","7451548087.09277","7972351929.13297","8617648970.9976","9318235323.60682","10262579474.1126","10953941405.059","11526337637.8406","12532229754.5394","13189082144.9915","14014160968.9074","15059852771.8482","15933777507.8497","16982490898.5211","18179632834.9494","19621708751.0312","21544224143.7764","23489199693.2732","25141320550.0716","26879383598.07","28769596138.0853","31364363465.3962","34323778956.7347","37632371200.5429","40703178048.1745","44637915543.1616","49589927086.5442","54660299597.1626","61252643993.9156","69013137914.7622",
"Bulgaria","BGR","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","6277748736.4972","6620996754.99957","7239832009.68014","7792894133.34313","8270701279.79424","8692017233.8148","9143386590.50008","9634733940.47061","10589946714.8939","10692161984.2538","9355641734.04955","7615492371.35779","7128100853.02547","6686158621.09675","7087328106.79801","6699616165.77269","6691485769.71868","7270179445.15803","7536528669.47218","7301045784.52172","8148186464.07858","8581954046.45819","9011250826.37995","9647693103.40586","10033033726.2622","10538703453.1689","11436440839.2199","12763371473.4779","13348171626.2083","12737662149.827","11727036686.0701","12364032605.253","12571356126.403","12592415992.2592","12918905779.5427","13356800110.8162","14025724832.0197","14512402802.1993","14356450581.5303","14751124209.687",
"Bahrain","BHR","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10100984042.5532","10785930851.0638","11291436170.2128","11299920212.766","11564787234.0426","11732712765.9574","11527021276.5957","12552686170.2128","13151648936.1702","13436329787.234","13808510638.2979","13894893617.0213","13925319148.9362","14240664893.617",
"Bahamas, The","BHS","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","778548015.584358","740810142.14181","720206479.138627","729975234.185734","651683102.82638","730419008.07537","725780216.689098","747930679.946164","895985733.512786","777125168.236878","640138627.187079","706496366.083446","461795693.135935","581385464.333782","881193270.524899","773687483.176312","946092597.577389","847545625.841184","409917900.403768","816502288.021534","771812382.234186","1161000000","1306424495.28937","1455599192.46299","1421222341.85734","1502685060.56528","1165479407.80619","1356114670.25572","1433202153.43203","1437473216.6891","",
"Bosnia and Herzegovina","BIH","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3073603479.64803","3364925942.05842","3637596616.11363","3965467214.40374","3783273289.11912","3846191508.09237","3834568789.10128","3730334095.28387","3873509196.64238","3946845356.45159","4094459435.24819","4287649701.64136","4507591965.6126","4699818549.28398","4692827099.44981",
"Belarus","BLR","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8355346666.58336","8390426010.72545","7686525780.79448","6786204515.1611","5608032907.71012","4854250449.27643","5017967794.95243","5919406126.06479","6561168215.03314","7057893351.63656","7468440376.88336","7826905636.56371","8372547390.89105","9261511488.79277","11005430171.8023","12497157121.6376","14264549812.7404","15591181697.6497","18014543501.2927","18069261600.2069","20252769385.6999","21719778649.8579","22162242450.7768","21736609624.1756","22063087991.7003","20442360178.1633","19487661567.3433","20181164668.1505","21220838884.8947","21521658721.1671",
"Belize","BLZ","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","23648624.6795001","25117865.1195218","28558045.6313244","31134276.4278263","34718581.3679392","36926452.8625967","36733879.6769627","42327586.2023459","45525310.4329807","48125287.4954076","66387212.0207018","68941258.0638352","67453740.7714075","66347869.4846374","65371702.3107593","66037969.9846579","68387663.4239894","75235948.6204442","79570411.1906478","91398907.9244495","101442244.003399","108797209.428514","120266443.375774","130710337.997262","123297359.384922","122970224.025712","120766177.432949","122755923.272375","120227928.738647","131388779.970705","163870962.450695","164780067.257799","168375315.66722","162565661.55574","174562997.582554","173060076.756411","215795546.246839","220569023.810515","234983432.216132","274233937.968416","263165150","255767577.24251","240371656.51199","223435415.914584","218634101.564902","211988440.771402","215121035.422564","218124274.016618","215196683.482245","190076374.675402",
"Bermuda","BMU","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","389574347.240389","397675616.196206","326467133.019586","464076757.782528","516978656.298574","474105393.118054","456381297.675255","457602202.344175","471287033.285245","526272845.53509","511707998.256198","512016371.084946","538601465.361972","487928677.165909","431873000","423608817.966989","346960338.941187","","","","","","","",
"Bolivia","BOL","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","1044989476.28393","1029682013.25243","1133772761.86665","1247036205.4467","1330703171.30734","1467302299.24308","1598778959.88123","1790017738.99126","1897589552.24066","2033619517.14334","2118424809.07011","2272630539.91933","2549739705.55053","2803791376.31074","2871077338.61604","2965473325.19389","3081110155.53166","3281151391.33653","3313012656.97643","3162999197.92192","2984059063.48383","2884889748.87504","2618452297.1631","2588189718.84542","2477982597.57987","2296761641.93091","2078211492.17044","2153080274.61138","2239439211.27757","2418468911.14706","2589939672.75283","2699075887.44925","2747613307.53403","2896673929.01981","3032160441.55201","3244035308.76395","3343317184.27932","3467488169.78712","3713021377.99371","3640198153.33634","3728774119.07369","3736505054.61055","3836607467.57574","3870950115.76412","4114931140.62813","4381359124.60026","4685175213.06492","5013040412.60704","5543412676.80894","5703963978.50552","5923173714.13912","6211416948.58012","6534653475.32836","7026717160.3344","7394666666.27148","7588493917.47167","7892668202.09231","8070194635.27488","8253943477.45195","8264103940.22005",
"Brazil","BRA","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","80475920016.703","88848034245.6144","91327843546.3994","103684155281.323","116067688950.867","126388646742.408","141356698022.536","161628970049.285","189318486281.921","205123356858.96","214928313570.469","240102333397.367","247561935708.722","275362122498.53","294078978724.011","321319001361.092","292889102632.273","292956501872.167","275833595470.312","294041486928.686","318356353567.448","355803966854.679","359547368249.469","350251763073.869","360323824619.41","330770370820.345","316737975727.603","304038980559.345","327878970270.577","354270584811.278","371059167689.859","367479804968.167","383010536380.173","374262206002.728","364687702137.335","380904367496.589","378541167860.391","391513174170.077","390343601296.044","424848318383.356","430776302296.498","437096988119.6","466593746703.047","486090966575.716","466497949636.198","513959185993.633","535103925306.958","531234644668.031","542743556161.892","534558708503.866","503758355218.281","480758086061.846","478350786152.797","480922324067.758","483114805707.14",
"Barbados","BRB","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7957403666.98221","7934474777.19743","8361642821.35538","8806384876.88762","8717730683.74411","9037765147.07313","9522001897.12376","9965122871.38343","9360000120.77856","9335282628.69928","9671052406.16153","9959245186.56126","10042022795.0644","10493347678.6346","10858697311.8484","10799353576.5958","10605998304.6777","10908964473.5528","10301029438.1215","9740568056.00491","9251921923.81944","9411074440.77741","9716780930.09058","9581993258.21105","9041941343.40046","8647435346.37935","8644512914.18191","8390145410.08802","8517211443.49453","8486225926.1689","8841952972.4075",
