"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.2696928901122","17.4760759649844","12.9917234988621","13.6675434906234","7.63312622867262","5.74181781784688","6.10714119901692","6.27060136362694","9.80767042635587","6.3940709539758","5.06099073110728","2.76578048388659","4.17112133684387","-0.765914444694431","0.417123193656792","2.54509352048136","2.00000003055992",
"Angola","AGO","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0866424080792001","14.8009544378462","20.4959315130068","13.193350732774","19.7989008658808","9.56677077645377","-3.89741896822869","2.53007736733267","-1.4138617510516","10.6852087980295","3.19941742098958","-1.61939031678936","7.4936987528687","1.0102741874333","-1.6482585745531","-3.6077152570488","",
"Albania","ALB","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","1.04589597535649","4.86393154238975","-0.0492227461321164","0.344759115932675","0.161396507393931","7.83288448935291","2.80363291546051","-0.343891321301484","6.2781117228885","-5.99078410725279","-40.1910758860345","-41.2593650938604","2.47083989409909","4.71760126544811","12.5999289539416","35.0161452737034","-16.7151090548741","16.3741566271639","19.9316941025501","22.7654621538029","19.9823904904821","6.80818155938812","15.537115289714","8.49531710375264","8.14486907713909","10.08700506256","5.03314759869353","5.05606934095395","1.84888874888169","4.26035973131835","2.26450340450251","-6.15091684572691","2.4901538235144","-3.361829401257","2.58273121172137","1.90417675746404","1.77667399609389","9.92265485301897","0.0834064080237624",
"Andorra","AND","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.76068583761047","-0.0433811366034149","-3.29500359672619","4.45563714356861","9.20362900927549","4.01500464457656","4.7382441061069","1.14033916366483","4.84375113320962","-3.52669652485051","3.71044098154452","7.6173621928653","4.94439747634372","1.5298019846652","2.38854654637053","3.67800173708386","4.60687603105497","-1.41025910861056","1.66523539073906","-0.02129704464501",
"United Arab Emirates","ARE","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.69817290371766","7.0915387350916","9.35979227956594","3.82841659898216","13.8193134291426","-2.68203146789851","2.57325814391518","-6.51233839572667","2.50340279641674","8.47717763989544","3.45989055700684","3.01893190069219","1.62481888041899","5.57663307820174","2.32281044689329","-0.241996753694806","1.75338891344343","2.10496883483628",
"Argentina","ARG","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","1.10973168770931","4.23108006887874","9.4742084107417","11.5461698027415","-0.930250742897258","6.32926601076218","3.12389382569422","0.805741918091329","6.03750326068824","-1.09100756963032","0.555648944048798","8.6290898761401","-8.33489904389198","7.54140524773584","-1.28895045880958","-10.6633342654933","-3.20938121974071","5.37768781471124","0.674286432652195","-8.65101189481356","8.63026418006167","3.3567769259971","-3.55197618042811","-8.58876114121466","-5.32530798657251","10.6874598659046","11.0167529206409","5.47029702567141","6.20635123777578","-3.55143693167778","6.19344587122571","8.37113960852946","1.94610164803552","-6.62248952143577","-2.19535196176199","-5.1914885879591","-11.3563772213886","14.1613607347498","10.8153351886695","6.53438408640604","8.66492235309944","6.03334742709704","3.07204281358982","-6.43334090641412","8.80489749044955","5.83091783894156","-2.20112663055619","0.551194177258154","-3.46203501608356","1.38980831410748","-5.82515874143607","2.463527071957","-3.1340026557239","-4.97456826024731",
"Armenia","ARM","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-15.9598156154654","-72.9526299594284","0.684444568329795","8.73140588609988","0.781348683912","5.9805311587283","1.92289750716468","0.902494524015211","6.01442157782211","23.7235565588701","5.15513023321684","21.3375625432573","24.7310233905449","7.38398183731803","14.7974580232203","16.5674367154294","11.2610049456394","7.43343155382814","-28.5527701308983","7.41934098514518","1.76821657845305","4.99154620058444","0.513245768308153","-2.10690097320129","3.41301578085482","0.336493349577566","10.2671930052521","3.15427323404138","9.12910819013517",
"American Samoa","ASM","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
